date,inflation_value
01-01-2022,1.2
01-02-2022,0.3
01-03-2022,1.9
01-04-2022,1.4
01-05-2022,1.2
01-06-2022,0.9
01-07-2022,1.4
01-08-2022,1.2
01-09-2022,0.9
01-10-2022,0.5
01-11-2022,1.0
01-12-2022,0.3
01-01-2023,0.8
01-02-2023,-0.1
01-03-2023,1.1
01-04-2023,0.3
01-05-2023,0.1
01-06-2023,-0.2
01-07-2023,0.4
01-08-2023,0.1
01-09-2023,0.7
01-10-2023,0.4
01-11-2023,0.7
01-12-2023,-0.5
01-01-2024,0.7
01-02-2024,0.6
01-03-2024,0.4
01-04-2024,0.5
01-05-2024,0.3
01-06-2024,-0.1
01-07-2024,0.7
01-08-2024,0.3
01-09-2024,0.1
01-10-2024,1.0
01-11-2024,0.2
01-12-2024,-0.2
